代碼|追蹤|股數|均價|買進區間|賣出區間|催化劑日期|備註|更新時間|分析師評論|外資目標價|外資評等|外資上調幅度
6669 緯穎|焦點股|||6,000～6,300|7,000～7,324|2026-11-05 (Q3財報/法說)|AI ASIC伺服器、Trainium 3、GPU伺服器與通用伺服器出貨；7月營收年增39.23%。|2026-08-24 2:40:42|觀望 (0位)|8022.5||+25.4%
3017 奇鋐|焦點股|||3,200～3,400|3,580～3,890|2026-09-01 (水冷量產)|Rubin水冷板預計9月量產；第四季雲端客戶水冷方案逐步放量。|2026-08-24 2:40:43|觀望 (0位)|3890||+0.0%
7610 聯友金屬-創||||50～55|75～85|2026-11-10 (Q3財報)|7月營收年增721.99%，基期與成長波動均高。|2026-08-24 2:40:44|觀望 (0位)|||
8069 元太||||240～250|290～310|2026-08-14 (法說會)|電子紙需求、彩色電子紙滲透率與庫存調整。|2026-08-24 2:40:45|觀望 (0位)|233||+47.9%
4906 正文||||35～38|42～45|2026-11-12 (Q3財報)|網通設備、寬頻與企業網路需求。|2026-08-24 2:40:46|觀望 (0位)|||
5009 榮剛||||33～35|40～41|2026-11-08 (Q3財報)|航太、能源與高階特殊鋼需求。|2026-08-24 2:40:47|觀望 (0位)|||
5536 聖暉*|焦點股|||780～830|920～975|2026-11-10 (Q3財報)|半導體與高科技廠房工程接單、海外擴張。|2026-08-24 2:40:48|觀望 (0位)|||
3056 富華新||||28～30|35～38|2026-11-14 (Q3財報)|資產活化與營運轉型進度。|2026-08-24 2:40:49|觀望 (0位)|||
3037 欣興||||850～920|1,175～1,350|2026-10-29 (Q3法說會)|ABF載板擴產、AI伺服器與高速運算PCB需求。|2026-08-24 2:40:50|觀望 (0位)|1280|強力買進|+18.0%
3712 永崴投控||||45～48|58～65|2026-11-14 (Q3財報)|綠能投資、工程案執行與轉投資績效。|2026-08-24 2:40:51|觀望 (0位)|||
2344 華邦電||||180～200|236～320|2026-10-25 (Q3法說會)|成熟製程DRAM與Flash報價、MSCI調整後資金效應。|2026-08-24 2:40:52|觀望 (0位)|238||+34.8%
4979 華星光||||130～145|170～190|2026-11-12 (Q3財報)|CPO、矽光子與高速光通訊模組需求。|2026-08-24 2:40:53|觀望 (0位)|||
6147 頎邦||||62～65|75～80|2026-11-06 (Q3財報)|面板驅動IC封測、先進封裝與顯示器需求。|2026-08-24 2:40:54|觀望 (0位)|||
6121 新普||||340～360|400～420|2026-11-10 (Q3財報)|筆電電池、伺服器備援電力與高階電池模組。|2026-08-24 2:40:55|觀望 (0位)|||
8027 鈦昇||||80～90|110～125|2026-11-12 (Q3財報)|玻璃基板、先進封裝雷射設備與電漿設備。|2026-08-24 2:40:56|觀望 (0位)|||
3231 緯創||||125～138|165～185|2026-11-10 (Q3法說會)|AI伺服器、雲端客戶訂單與新平台出貨。|2026-08-24 2:40:57|觀望 (0位)|||
6676 祥翊||||28～31|40～45|2026-11-14 (Q3財報)|新藥研發、臨床試驗與授權進度。|2026-08-24 2:40:58|觀望 (0位)|||
1717 長興||||30～33|38～42|2026-11-10 (Q3財報)|PCB材料、乾膜光阻與玻璃基板相關材料需求。|2026-08-24 2:40:59|觀望 (0位)|||
6405 悅城||||32～35|45～50|2026-11-14 (Q3財報)|資產與轉投資營運改善。|2026-08-24 2:41:00|觀望 (0位)|||
1815 富喬||||22～25|30～35|2026-11-10 (Q3財報)|低介電玻纖布、AI伺服器與高階PCB材料需求。|2026-08-24 2:41:01|觀望 (0位)|||
1303 南亞||||42～45|52～56|2026-10-08 (月營收與展望)|銅箔基板、電子材料、塑化景氣與轉投資收益。|2026-08-24 2:41:02|觀望 (0位)|156|觀望|-22.0%
3062 建漢||||22～25|30～33|2026-11-12 (Q3財報)|網通設備、企業網路與寬頻需求。|2026-08-21 16:48:28|觀望 (0位)|||
2317 鴻海||||260～280|323～435|2026-08-14 (Q2法說會)|法說會；AI機櫃、伺服器、消費電子旺季與新平台布局。|2026-08-20 12:51:28|觀望 (0位)|355|強力買進|+44.6%
3031 佰鴻||||18～20|23～25|2026-11-10 (Q3財報)|LED、車用與特殊照明需求。|2026-08-16|中性：未取得近期法人目標價共識。|||
2356 英業達||||42～46|58～63|2026-11-11 (Q3法說會)|AI伺服器、筆電旺季與雲端客戶拉貨。|2026-08-16|中性：近期市場目標價約58元，已低於目前股價；代表市場對短線評價較保守。|58|中立|-10.6%
1712 興農||||38～41|46～50|2026-11-12 (Q3財報)|農藥、肥料、通路與轉投資收益。|2026-08-16|中性：未取得近期法人目標價共識。|||
1229 聯華||||55～60|68～72|2026-11-14 (Q3財報)|食品本業、投資收益與轉投資。|2026-08-16|中性：未取得近期法人目標價共識。|||
1904 正隆||||23～25|28～31|2026-11-12 (Q3財報)|工紙價格、原料成本與中國需求。|2026-08-16|中性：既有研究評等中立，獲利易受紙價循環影響。|||
2002 中鋼||||21～23|26～28|2026-10-25 (Q3財報)|鋼價、中國需求、原料成本與政策支持。|2026-08-19 14:29:18|觀望 (0位)|22||+13.1%
1101 台泥||||30～32|36～39|2026-11-10 (Q3財報)|水泥需求、能源事業與海外布局。|2026-08-19 14:29:19|觀望 (0位)|||
2616 山隆||||28～30|34～37|2026-11-14 (Q3財報)|油品通路、運輸與綠能布局。|2026-08-20 14:32:08|觀望 (0位)|||
2618 長榮航||||33～36|42～45|2026-11-08 (Q3法說會)|航空客運、貨運、油價與匯率。|2026-08-20 14:32:09|觀望 (0位)|47.75||+14.0%
2880 華南金||||26～28|32～37|2026-11-20 (Q3法說會)|金控月獲利、利差與股利政策。|2026-08-19 12:24:56|觀望 (0位)|||
2891 中信金||||38～42|48～59|2026-11-18 (Q3法說會)|金控月獲利、銀行利差、資產品質與股利。|2026-08-19 12:24:57|觀望 (0位)|65|強力買進|+0.0%
